L1,L2,L3,L4,LC_UNQ,L1-label,L2-label,L3_Label,L4_Label,L5_label,Text,details,L1_name,L2_name,L3_name,L4_name,UNQ_name,,CropNoCrop
0,0,0,0,0,nodata / unknown,,,,,nodata / unknown, ------ (this is just a placeholder for pixels not yet inspected),noData,noData,noData,noData,noData,,noData
0,-1,-1,-1,-1,,Mask,,,,       Mask,Individual image mask -- converted to nodata in processing,noData,mask,mask,mask,mask,,noData
0,-1,-1,-1,-8,,,,,cloud shadow,            cloud shadow,"only needed for ML masking models. Otherwise, use 0 in landcover is never observed",noData,mask,mask,mask,cloud_shadow,,noData
0,-1,-1,-2,-2,,,,,haze,            haze,"only needed for ML masking models. Otherwise, use 0 in landcover is never observed",noData,mask,mask,haze,haze,,noData
0,-1,-1,-1,-4,,,,,cloud,            cloud,"only needed for ML masking models. Otherwise, use 0 in landcover is never observed",noData,mask,mask,mask,cloud,,noData
10,10,10,10,10,NoVeg,,,,,NoVeg,"nonvegetated area (<20% veg) -- unknown if water, bare or built",NoVeg,NoVeg_any,NoVeg_any,NoVeg_any,NoVeg_any,,98
10,20,20,20,20,,NoVeg_Bare,,,,     NoVeg_Bare,Bare soil/rock/sand throughout the year (NOT part of crop cycle),NoVeg,NoVeg_Bare,bare,bare,bare,,98
10,20,1,1,1,,,ice / permanent snow,,,          ice / permanent snow,,NoVeg,NoVeg_Bare,ice,ice_perm,ice_perm,,98
10,40,40,4,4,,,"water body, frozen at observation",,,"          water body, frozen at observation",,NoVeg,NoVeg_Bare,ice,ice_temp,ice_temp,,98
0,0,0,8,8,,,temporarily covered in snow,,,          temporarily covered in snow,,noData,noData,snow,snow_temp,snow_temp,,noData
0,0,0,28,28,,,heavily shaded no/low veg,,,          heavily shaded no/low veg,"shaded by landscape / structures on ground, not clouds",noData,noData,noData,shade,shade,,noData
10,20,2,2,2,,,sand/rock,,,sand/rock,,NoVeg,NoVeg_Bare,sand/rock,sand_rock,sand_rock,,98
10,20,2,5,5,,,,rock,,          rock,,NoVeg,NoVeg_Bare,sand/rock,rock,rock_any,,98
10,20,2,5,6,,,,,"rock, slab, natural (e.g. montane)","                rock, slab, natural (e.g. montane)",,NoVeg,NoVeg_Bare,sand/rock,rock,rock_slab,,98
10,20,2,5,25,,,,,gravel / small rocks,                gravel / small rocks,,NoVeg,NoVeg_Bare,sand/rock,rock,rock_gravel,,98
10,20,2,5,3,,,,,rock quarry,                rock quarry,,NoVeg,NoVeg_Bare,sand/rock,rock,rock_quarry,,98
10,20,2,12,12,,,,sand,,          sand,,NoVeg,NoVeg_Bare,sand/rock,sand,sand_any,,98
10,20,2,12,11,,,,,"dry sand, (no regular flooding)","                dry sand, (no regular flooding)","natural, no regular tidal/seasonal flooding",NoVeg,NoVeg_Bare,sand/rock,sand,sand_dry,,98
10,20,2,12,19,,,,,desertification,                  desertification,"sandy bare soil, had vegetation in past",NoVeg,NoVeg_Bare,sand/rock,sand,desertification,,98
10,20,2,14,14,,,,tidal or sandy/rocky littoral zone,,                 tidal or sandy/rocky littoral zone,both water and dry in year - tidal zone or river bed,NoVeg,NoVeg_Bare,sand/rock,wetdry_bare,rockSand_wet,,98
10,20,2,14,18,,,,,salt bed,                 salt bed,dry at observation or fluctuating wet/dry in a composite,NoVeg,NoVeg_Bare,saltbed_dry,saltbed_dry,saltbed,,98
10,20,22,22,22,,,bare dirt,,,          bare dirt,,NoVeg,NoVeg_Bare,dirt_any,dirt_any,dirt_any,,98
10,20,22,13,13,,,,bare dirt - developed (residential / rd / infrastructure,,                bare  developed (residential / rd / infrastructure),,NoVeg,NoVeg_Bare,dirt,dirt_dev,dirt_dev,,98
10,20,22,13,21,,,,,     dirt road,                        dirt road,,NoVeg,NoVeg_Bare,dirt,dirt_dev,road_dirt,,98
10,20,22,15,15,,,,"bare dirt, natural, long term",,"                 natural, long term bare area",,NoVeg,NoVeg_Bare,dirt,dirt_nat,dirt_nat,,98
10,20,22,29,29,,,,"bare dirt, from erosion / landslide",,                 erosion / landslide,,NoVeg,NoVeg_Bare,dirt,bare_erosion,bare_erosion,,98
10,20,22,29,9,,,,,"deep bare gully / ravine / ""donga""","                       deep bare gully / ravine / ""donga""",,NoVeg,NoVeg_Bare,dirt,bare_erosion,bare_gully,,98
